Inference for Stan model: Reaction Time A7.
4 chains, each with iter=8000; warmup=4000; thin=1; 
post-warmup draws per chain=4000, total post-warmup draws=16000.

             mean se_mean    sd   2.5%    25%    50%    75%  97.5% n_eff Rhat
mu0          5.65    0.00  0.05   5.56   5.62   5.65   5.69   5.75   606 1.01
mu1          0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   344 1.02
tau0         0.22    0.00  0.03   0.17   0.20   0.22   0.24   0.30  5203 1.00
tau1         0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   172 1.03
phi0         0.38    0.00  0.09   0.19   0.32   0.38   0.44   0.56  2732 1.00
phi1         0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   770 1.00
theta0[1]    6.20    0.00  0.07   6.08   6.16   6.20   6.25   6.34  7148 1.00
theta0[2]    6.38    0.00  0.07   6.24   6.33   6.38   6.43   6.51  2844 1.00
theta0[3]    5.83    0.00  0.05   5.73   5.80   5.83   5.86   5.93  5574 1.00
theta0[4]    5.74    0.00  0.13   5.49   5.65   5.74   5.82   5.99  8279 1.00
theta0[5]    5.76    0.00  0.04   5.68   5.73   5.76   5.78   5.83  2067 1.00
theta0[6]    5.53    0.00  0.05   5.43   5.50   5.53   5.56   5.63  6742 1.00
theta0[7]    5.71    0.00  0.07   5.58   5.66   5.71   5.75   5.84  7810 1.00
theta0[8]    5.81    0.00  0.06   5.68   5.77   5.81   5.85   5.94  7331 1.00
theta0[9]    5.84    0.00  0.07   5.71   5.80   5.84   5.89   5.97  2357 1.00
theta0[10]   5.54    0.00  0.04   5.46   5.51   5.54   5.56   5.61  5378 1.00
theta0[11]   5.57    0.00  0.04   5.51   5.55   5.57   5.60   5.64  1290 1.00
theta0[12]   5.83    0.00  0.04   5.76   5.80   5.83   5.85   5.89   736 1.01
theta0[13]   5.41    0.00  0.05   5.32   5.38   5.41   5.45   5.51  1224 1.00
theta0[14]   5.83    0.00  0.04   5.74   5.80   5.83   5.86   5.91  2140 1.00
theta0[15]   5.57    0.00  0.06   5.45   5.53   5.58   5.62   5.70  2749 1.00
theta0[16]   6.15    0.00  0.07   6.02   6.10   6.15   6.20   6.29   445 1.01
theta0[17]   6.37    0.00  0.07   6.23   6.32   6.37   6.41   6.51   274 1.01
theta0[18]   6.27    0.00  0.07   6.14   6.22   6.27   6.31   6.40  5803 1.00
theta0[19]   5.49    0.00  0.07   5.36   5.44   5.48   5.53   5.62  9478 1.00
theta0[20]   5.53    0.00  0.04   5.46   5.51   5.53   5.55   5.60  4193 1.00
theta0[21]   6.00    0.00  0.05   5.90   5.96   6.00   6.03   6.09  2352 1.00
theta0[22]   5.53    0.00  0.04   5.45   5.50   5.53   5.56   5.62  7211 1.00
theta0[23]   5.83    0.00  0.05   5.74   5.80   5.83   5.86   5.93  8487 1.00
theta0[24]   5.69    0.00  0.04   5.63   5.67   5.69   5.72   5.77   566 1.01
theta0[25]   5.67    0.00  0.04   5.58   5.64   5.67   5.70   5.75  4998 1.00
theta0[26]   5.62    0.00  0.07   5.49   5.58   5.62   5.66   5.75 12318 1.00
theta0[27]   5.65    0.00  0.07   5.52   5.60   5.65   5.70   5.78   939 1.00
theta0[28]   5.66    0.00  0.05   5.56   5.62   5.66   5.69   5.76  8006 1.00
theta0[29]   5.41    0.00  0.05   5.32   5.38   5.41   5.44   5.51  6432 1.00
theta0[30]   5.47    0.00  0.06   5.35   5.43   5.47   5.52   5.59  1938 1.00
theta0[31]   5.63    0.00  0.07   5.50   5.58   5.63   5.67   5.76  5735 1.00
theta0[32]   5.50    0.00  0.07   5.37   5.45   5.50   5.55   5.63  2139 1.00
theta0[33]   5.66    0.00  0.13   5.41   5.57   5.66   5.74   5.90  8912 1.00
theta0[34]   5.95    0.00  0.04   5.88   5.93   5.95   5.98   6.02  1453 1.00
theta1[1]    0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   783 1.00
theta1[2]    0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   831 1.00
theta1[3]    0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   465 1.02
theta1[4]    0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   450 1.02
theta1[5]    0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   472 1.02
theta1[6]    0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   523 1.02
theta1[7]    0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   487 1.02
theta1[8]    0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   504 1.02
theta1[9]    0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   497 1.02
theta1[10]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   524 1.01
theta1[11]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   394 1.02
theta1[12]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   437 1.02
theta1[13]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.00   507 1.02
theta1[14]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   832 1.00
theta1[15]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   739 1.00
theta1[16]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   789 1.00
theta1[17]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   792 1.00
theta1[18]   0.00    0.00  0.00   0.00   0.00   0.00   0.00   0.01   799 1.00
